Сургалтын_төлөвлөгөөний_дугаар,Хөтөлбөрийн_дугаар,Сургалтын_төлөвлөгөө,Хөтөлбөрийн_нэр,Хөтөлбөр_Батлагдсан_он
2d13dd919b0ec4519c4a0967c4c7cd47,e08c0838b2b1e2fc46db3a2e4fc6bdde,2021,Хот ба бүс нутгийн төлөвлөлт,2023
86edc93505434db5aa0e091e50e678b7,4d88345a74e70ac007302348e8cc6f7e,2014,Газрын кадастр,2023
1c63926ebcabda26b5cdb31b5cc91efb,a894f4bc615c69faae518ba490bb8020,2020,Байгаль орчны зайнаас тандан судлал,2023
8c96a3d5e1a41ee7925daa5a4dc0c25a,a894f4bc615c69faae518ba490bb8020,2021,Байгаль орчны зайнаас тандан судлал,2023
bd4d08cd70f4be1982372107b3b448ef,d3b38b3179fb366827ae475d0818fced,2020,Байгаль орчны зайнаас тандан судлал,2023
2f891485332423c8715842537cf742a0,d3b38b3179fb366827ae475d0818fced,2021,Байгаль орчны зайнаас тандан судлал,2023
a10a26631d45928cb8be4ebabbee8b8d,5c9d0b5870d3ce9bec1a85d55995f605,2021,Аялал жуулчлал,2023
97785e0500ad16c18574c64189ccf4b4,f4e359d21804f6d499febe3045ea3656,2014,"Хөрс судлал, агрохими",2023
6e923226e43cd6fac7cfe1e13ad000ac,cf11cbc710f1b42941bdc9d797a51cb3,2014,Философи,2023
48db71587df6c7c442e5b76cc723169a,0348923a7f0db34819631c23a6e5fd08,2014,Философи,2023
069090145d54bf4aa3894133f7e89873,0348923a7f0db34819631c23a6e5fd08,2021,Философи,2023
cca8f108b55ec9e39d7885e24f7da0af,7651cbf2fc15db60543fd88a354073f8,2014,Эдийн засаг,2023
166cee72e93a992007a89b39eb29628b,7651cbf2fc15db60543fd88a354073f8,2021,Эдийн засаг,2023
13d4635deccc230c944e4ff6e03404b5,e30a72e450a7998345b21e1da8dae517,2014,Шашин судлал,2023
4b85256c4881edb6c0776df5d81f6236,c009f1d312fa6e28c392a0195fec05a4,2014,Шашин судлал,2023
fdaa09fc5ed18d3226b3a1a00f1bc48c,8bfb5dcc72ae74dd8fa499459e29be48,2014,Буддын гүн ухаан,2023
4c7a167bb329bd92580a99ce422d6fa6,8bfb5dcc72ae74dd8fa499459e29be48,2021,Буддын гүн ухаан,2023
07ff46bb6597a4f81eed4f59360ff835,9e6073cb257f131b1b69f943ac10c880,2014,Философи,2023
bdc8b08ca966b6626e1f186f03c9a060,9e6073cb257f131b1b69f943ac10c880,2021,Философи,2023
99b410aa504a6f67da128d333896ecd4,1400971ceaab98547e21b90dd768c074,2014,Шашин судлал,2023
23e582ad8087f2c03a5a31c125123f9a,18cf7f2dfd8366878ebd801af8497eab,2014,Буддын гүн ухаан,2023
344ef5151be171062f42f03e69663ecf,98056e5f0857b17483fa71c32f96a9ba,2014,Сэтгүүл зүй ,2023
e7c573c14a09b84f6b7782ce3965f335,98056e5f0857b17483fa71c32f96a9ba,2021,Сэтгүүл зүй ,2023
5898d8095428ee310bf7fa3da1864ff7,9fb96652e719f5d1603ade559211e4ff,2020,Сэтгүүл зүй ,2023
c66dd00e5fc44ba8de89d7713fedcd50,9fb96652e719f5d1603ade559211e4ff,2021,Сэтгүүл зүй ,2023
f4f0edb08c97567ce6b0475a63bf7000,a385c4048d102818d18bc21a43baca32,2014,Сэтгүүл зүй ,2023
1f029c1e1abaaf0605807b7f91552d36,a6fab2d22eec3d44838c8286c559e05c,2021,Эдийн засаг,2023
218ac3fe3df6ff2c8fe8f9353f1084f6,a6fab2d22eec3d44838c8286c559e05c,2023,Эдийн засаг,2023
3a09a524440d44d7f19870070a5ad42f,52b99bbed8d463cea7aba11f726e22df,2014,Археологи,2023
754c32eb39c6dfd8b7c97531a459937c,52b99bbed8d463cea7aba11f726e22df,2021,Археологи,2023
cacbf64b8a464fa1974da1eb0aa92851,ddcb097eada1dd51475ce276883df702,2014,Археологи,2023
55a0ce8200cf39c3028ebc66f356bf7e,f9029d306b67ec55e8e2d467c018e065,2014,Антропологи ,2023
1959eb9d5a0f7ebc58ebde81d5df400d,f9029d306b67ec55e8e2d467c018e065,2021,Антропологи ,2023
da647c549dde572c2c5edc4f5bef039c,b48057388207df2365a1d7df3138fde7,2014,Антропологи,2023
48fbab00052197bc8bd943498b89dd71,b48057388207df2365a1d7df3138fde7,2021,Антропологи,2023
cb41f167917ec4b8d870a90c54afef7d,ed2929ea82fd5f8f15bebf8064a32e89,2014,Антропологи,2023
8ba6c657b03fc7c8dd4dff8e45defcd2,ed2929ea82fd5f8f15bebf8064a32e89,2021,Антропологи,2023
b56b7c12f20e05664ec7674d075c5fc0,5c3ce3800fc51376d810ca69bded9a98,2017,Хүн ам зүй ,2023
e4270771aa8df98b3317d174170ca046,2427d52842168ed60c391c2cff83cd33,2014,Түүх,2023
887caadc3642e304ede659b734f79b00,2427d52842168ed60c391c2cff83cd33,2021,Түүх,2023
cffb6e2288a630c2a787a64ccc67097c,4f49f99415f87a56437ea7478f450355,2014,Түүх,2023
b24d21019de5e59da180f1661904f49a,4f49f99415f87a56437ea7478f450355,2021,Түүх,2023
72bcba983cd3b0bf1d4251311d8b3772,41753d531684d4283650562fab6f7bb8,2017,Хүн ам зүй ,2023
24646475ed957884ca39b0c1d9cc06b2,194e774f8c8da49076fd3d202aaf3c6a,2014,Хэл шинжлэл,2023
d10ddbe86fe1df4e50c91d66087cbc6a,3983e66fecd3de047a943caaad9049b1,2014,Хэл шинжлэл,2023
80f2f15983422987ea30d77bb531be86,711b9c0805ebe11b05943ddcf083e9ad,2014,Хэл шинжлэл,2023
dafc8e8cde5d69dafe65cb6907899656,06251cb4634a90a6c8593f96ef826b66,2014, Социологи ,2023
048e9aee4ffe42efbf7865f0bd5a2fa4,06251cb4634a90a6c8593f96ef826b66,2021, Социологи ,2023
249338e601902b14d0f529fe5e6ae417,4be6b5dd8f01b707974e2c3c3c63cf40,2014,Социологи ,2023
8a7129b8f3edd95b7d969dfc2c8e9d9d,4be6b5dd8f01b707974e2c3c3c63cf40,2021,Социологи ,2023
71d2d6ccac82f8a334937ff0fcdc0d8a,e52aca43fb61e6cdafebdf71f938c8c2,2014,Социологи ,2023
b597460c506e8e35fb0cc1c1905dd3bc,e52aca43fb61e6cdafebdf71f938c8c2,2021,Социологи ,2023
3cc697419ea18cc98d525999665cb94a,ada045b9d66a6b107eefa4e4d33f645c,2014,Урлаг судлал,2023
eded0708dfe855304a50029fccf1a677,2599f3f988beec4f78d7f3a1bd9f0f66,2014,Урлаг судлал,2023
b0d6951563a26ffeb2405a9653b3b422,2599f3f988beec4f78d7f3a1bd9f0f66,2021,Урлаг судлал,2023
517f24c02e620d5a4dac1db388664a63,a2c94318f6795f6b17ac21a915ba95e5,2014,Утга зохиол судлал,2023
b4681a619cf018eed690452faeb0e94f,c7624efe8e920f41662f5702b7b90887,2014,Нийгмийн ажил ,2023
8909a6e385b0fbc1f3885c00ae838de7,c7624efe8e920f41662f5702b7b90887,2021,Нийгмийн ажил ,2023
44e6b86aeefa3eca5832a98043a7b6fa,87938797ba7cc89250e8d3a741a95186,2014,Утга зохиол судлал,2023
44bf89b63173d40fb39f9842e308b3f9,76184c056e386d1b3536f5337fe5fcd1,2014,Нийгмийн ажил ,2023
